network,address,address_type,classification,confidence,monitoring_action,notes
TRON,TNiq9AXBp9EjUqhDhrwrfvAA8U3GUQZH81,address,sanctioned Central Bank of Iran seed,high,watch directly and use for sanctions graph expansion,Existing OFAC identifier retained in July 14 2026 update
TRON,TTiDLWE6fZK8okMJv6ijg42yrH6W2pjSr9,address,sanctioned Central Bank of Iran seed,high,watch directly and use for sanctions graph expansion,Existing OFAC identifier retained in July 14 2026 update
TRON,TAhwhFv3JpK39Nc2m8W5LPCcoTisutiRfp,address,sanctioned Central Bank of Iran seed,high,watch directly and prioritize historical flow review,Newly added OFAC identifier on July 14 2026
TRON,TJdgB1k6ot3f2nLuZug6D8eD3HavTmzmSK,address,sanctioned Central Bank of Iran seed,high,watch directly and prioritize historical flow review,Newly added OFAC identifier on July 14 2026
TRON,TXGHxdYbGy574z5hBu4LNzq9NzjZQ9bhUf,address,sanctioned Central Bank of Iran seed,high,watch directly and prioritize historical flow review,Newly added OFAC identifier on July 14 2026
TRON,TFQbqaNbmq2xsVor2NbufLkYZvxFC9wC7k,address,sanctioned Central Bank of Iran seed,high,watch directly and prioritize historical flow review,Newly added OFAC identifier on July 14 2026
