address,network,address_type,classification,analyst_role,monitoring_action,confidence,threat_label,ofac_tag,designated_person,linked_entity,source,source_date,notes
TPyE2oSoaysrXfLzwf9wetBVr9JudLwjtD,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
TVgUsVzA7mpFExP4zS7HHbtKti6UuBDuwZ,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
TLoG3vbjDgqmTD5bM7w9rMgA6ysaNReuRy,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
TAhHpxPRwo1Bmm1A9m51uZ31tcB7EPq7SY,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
TScXZTbDjjZ6a6jiC7dZjgCqfNo4vm7atV,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
TGr2i8ZQiiMRjP3mWyQUH2MQBfKu8GJNqm,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
THJUJFyTnrBWb1ijWav7qfRBrjUuKgP49Z,TRON,Account,Official OFAC blocked identifier,direct_sanctions_seed,watch_directly,high,true,SDGT,Zaid Issam Ahmed Al-Jebouri,El-Kahira for General Trading,OFAC SDN List update,2026-07-23,Official TRX digital-currency address published directly by OFAC
